Info 143  [22:8:1.978] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [22:8:1.985] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 7ms
Info 145  [22:8:1.987] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 146  [22:8:1.988] getCompletionData: Get current token: 0
Info 147  [22:8:1.988] getCompletionData: Is inside comment: 0
Info 148  [22:8:1.988] getCompletionData: Get previous token 1: 0
Info 149  [22:8:1.988] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 150  [22:8:1.991] getSymbolsFromOtherSourceFileExports: Using cached list
Info 151  [22:8:2.6] getCompletionData: Semantic work: 18
Info 152  [22:8:2.13] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
Info 153  [22:8:2.51] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 154  [22:8:2.57] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 6ms
Info 155  [22:8:2.57] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 156  [22:8:2.57] getCompletionData: Get current token: 0
Info 157  [22:8:2.57] getCompletionData: Is inside comment: 0
Info 158  [22:8:2.57] getCompletionData: Get previous token 1: 0
Info 159  [22:8:2.57] getCompletionData: Get previous token 2: 0
Info 160  [22:8:2.57] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 161  [22:8:2.60] getSymbolsFromOtherSourceFileExports: Using cached list
Info 162  [22:8:2.78] getCompletionData: Semantic work: 21
Info 163  [22:8:2.84] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 164  [22:8:3.9] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [22:8:3.16] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 7ms
Info 166  [22:8:3.16] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 167  [22:8:3.16] getCompletionData: Get current token: 0
Info 168  [22:8:3.16] getCompletionData: Is inside comment: 0
Info 169  [22:8:3.16] getCompletionData: Get previous token 1: 0
